,bbox_list
00a1aab5b.jpg,"[(337, 453, 363, 489)]"
00a52cd2a.jpg,"[(16, 491, 170, 687)]"
00a9e2ec9.jpg,"[(37, 118, 49, 141)]"
00aa60389.jpg,"[(558, 488, 588, 538), (394, 674, 417, 715)]"
00aa8bc42.jpg,"[(56, 444, 141, 482)]"
00abc623a.jpg,"[(573, 254, 768, 352), (0, 369, 163, 472)]"
00b0fa633.jpg,"[(357, 302, 439, 333), (103, 479, 117, 494)]"
00b21150c.jpg,"[(611, 504, 712, 768)]"
00b3e6991.jpg,"[(647, 729, 678, 754)]"
00b872d8e.jpg,"[(343, 357, 354, 367)]"
00bc708e0.jpg,"[(296, 428, 353, 510)]"
00be4edfb.jpg,"[(559, 58, 588, 99), (237, 138, 261, 166), (458, 215, 472, 229)]"
00c2c8539.jpg,"[(303, 527, 311, 546)]"
00c4a90d2.jpg,"[(547, 551, 558, 585)]"
00c4b4f62.jpg,"[(568, 541, 575, 549)]"
00c571edd.jpg,"[(731, 163, 768, 242)]"
00c81c432.jpg,"[(397, 274, 493, 365)]"
00c9a7ed3.jpg,"[(468, 142, 487, 175)]"
00cad4541.jpg,"[(67, 587, 140, 666)]"
00d0a646b.jpg,"[(27, 549, 98, 768)]"
00d412548.jpg,"[(643, 374, 768, 561)]"
00dbe507d.jpg,"[(574, 745, 593, 764)]"
00e05ac7b.jpg,"[(197, 32, 202, 38)]"
00e0b6dc0.jpg,"[(122, 557, 133, 570)]"
00e44fa55.jpg,"[(358, 239, 444, 319)]"
00e4b52b2.jpg,"[(735, 21, 767, 83), (276, 431, 351, 518), (315, 454, 353, 499)]"
00ea572a2.jpg,"[(708, 284, 713, 289)]"
00eda2ebe.jpg,"[(0, 244, 96, 327)]"
00ef1bc5c.jpg,"[(649, 43, 700, 118), (549, 283, 599, 357)]"
00ef28664.jpg,"[(121, 489, 131, 498)]"
00f34434e.jpg,"[(394, 355, 504, 526), (590, 574, 595, 584)]"
00fba1ce7.jpg,"[(258, 89, 304, 147), (705, 465, 768, 563)]"
00fd8e126.jpg,"[(345, 120, 594, 256)]"
01000f132.jpg,"[(576, 209, 606, 366)]"
0106d2433.jpg,"[(341, 292, 399, 419)]"
010ed806d.jpg,"[(463, 373, 470, 384)]"
01152a5d6.jpg,"[(463, 688, 479, 712)]"
01184bcb5.jpg,"[(74, 692, 100, 713)]"
011a24ce7.jpg,"[(676, 0, 748, 179)]"
0121138f0.jpg,"[(376, 420, 416, 474)]"
0123b84ee.jpg,"[(626, 144, 640, 214), (180, 153, 219, 236), (517, 333, 540, 395), (57, 344, 74, 388), (17, 431, 46, 500)]"
012635ffd.jpg,"[(485, 556, 512, 658)]"
0129c0880.jpg,"[(703, 288, 715, 301)]"
012c055e7.jpg,"[(0, 379, 170, 611)]"
012c9f428.jpg,"[(22, 0, 43, 39)]"
012d9c145.jpg,"[(185, 165, 209, 205), (491, 218, 520, 274), (385, 721, 424, 768)]"
013b9540b.jpg,"[(11, 249, 201, 448), (6, 341, 21, 352), (674, 616, 687, 632)]"
013fb4633.jpg,"[(487, 613, 629, 659)]"
0142b90f6.jpg,"[(662, 70, 677, 85)]"
01431af84.jpg,"[(183, 404, 193, 414)]"
014374e14.jpg,"[(192, 416, 208, 430)]"
014586e74.jpg,"[(476, 362, 523, 476)]"
014773cfa.jpg,"[(181, 493, 192, 509)]"
014ae9b69.jpg,"[(672, 29, 677, 36)]"
014bf2cb5.jpg,"[(392, 25, 400, 42), (384, 44, 395, 70)]"
014c589c5.jpg,"[(74, 298, 96, 306), (690, 351, 702, 362)]"
014f2454d.jpg,"[(568, 285, 575, 293)]"
014f42813.jpg,"[(168, 339, 205, 424)]"
0150b2c24.jpg,"[(40, 21, 45, 28)]"
0152a6885.jpg,"[(580, 255, 610, 299), (502, 424, 550, 487)]"
0152f58b6.jpg,"[(26, 404, 34, 416), (59, 657, 69, 670), (55, 740, 69, 752)]"
015369fd9.jpg,"[(21, 79, 95, 163), (248, 203, 275, 278), (135, 268, 170, 381), (226, 339, 255, 432)]"
0153aaea8.jpg,"[(344, 364, 353, 373)]"
01541263e.jpg,"[(149, 652, 154, 655), (152, 662, 156, 670), (430, 662, 436, 670), (432, 674, 439, 682), (447, 679, 451, 687), (497, 686, 505, 697), (72, 695, 81, 704), (121, 709, 127, 716), (68, 717, 73, 725), (580, 717, 588, 730)]"
0154d8e2d.jpg,"[(694, 621, 703, 638)]"
01584f24a.jpg,"[(467, 1, 479, 21), (197, 687, 203, 699)]"
01589db09.jpg,"[(18, 260, 175, 302)]"
015b2962a.jpg,"[(644, 113, 656, 135), (609, 182, 647, 259), (270, 489, 442, 768)]"
015b4aaf1.jpg,"[(588, 413, 639, 566), (632, 443, 677, 553)]"
015d9f6b2.jpg,"[(352, 304, 373, 369), (351, 615, 366, 647)]"
015da1585.jpg,"[(93, 321, 101, 330)]"
015fb893d.jpg,"[(272, 65, 278, 72), (218, 250, 225, 258), (104, 364, 109, 371), (369, 687, 375, 696)]"
016017695.jpg,"[(35, 370, 145, 457)]"
0163c7069.jpg,"[(561, 318, 591, 354)]"
016b781a9.jpg,"[(246, 39, 316, 132)]"
016bb0df6.jpg,"[(112, 620, 124, 631), (186, 652, 257, 699)]"
016ec07ac.jpg,"[(681, 197, 686, 220), (736, 611, 745, 625)]"
0172ba95b.jpg,"[(707, 58, 731, 69)]"
0177df615.jpg,"[(458, 164, 473, 178), (686, 217, 702, 255), (27, 407, 41, 421), (219, 650, 231, 661), (612, 706, 622, 716)]"
0178084d0.jpg,"[(754, 584, 761, 593), (81, 638, 90, 648)]"
017826c29.jpg,"[(344, 581, 408, 727), (355, 690, 375, 711)]"
0178a78ec.jpg,"[(0, 558, 51, 652)]"
017a3a722.jpg,"[(48, 27, 72, 61), (454, 53, 486, 79), (9, 127, 63, 211), (117, 366, 161, 408), (188, 397, 204, 411), (207, 414, 236, 448), (381, 468, 558, 524)]"
017d242a2.jpg,"[(524, 366, 530, 375)]"
018054283.jpg,"[(451, 20, 625, 72), (636, 424, 768, 516)]"
0185015c1.jpg,"[(319, 541, 361, 570)]"
01851fccf.jpg,"[(328, 341, 344, 355)]"
0185b1bc5.jpg,"[(508, 390, 524, 400)]"
0185f1bec.jpg,"[(465, 43, 551, 102), (293, 137, 342, 177)]"
01873dc60.jpg,"[(565, 262, 574, 271), (524, 326, 531, 337), (558, 346, 565, 352), (627, 363, 634, 375), (601, 397, 626, 428), (742, 445, 748, 458), (682, 489, 690, 504), (550, 545, 560, 569), (440, 564, 443, 570), (459, 625, 463, 633), (668, 635, 677, 649), (646, 714, 655, 734)]"
01874d60b.jpg,"[(135, 669, 164, 701)]"
018977b8c.jpg,"[(599, 677, 608, 703)]"
018c4ba23.jpg,"[(199, 329, 246, 367), (499, 665, 543, 711)]"
018e3e878.jpg,"[(151, 22, 183, 118)]"
018e8bf12.jpg,"[(227, 224, 258, 331)]"
0190215b2.jpg,"[(434, 69, 474, 121), (626, 400, 640, 470), (180, 409, 219, 492), (517, 589, 540, 651), (57, 600, 74, 644), (17, 687, 46, 756)]"
01920b170.jpg,"[(489, 176, 496, 193)]"
01933be65.jpg,"[(435, 669, 446, 689)]"
0193ae5c1.jpg,"[(638, 481, 654, 513), (447, 619, 469, 649)]"
019637cee.jpg,"[(5, 241, 10, 248)]"
019762ab7.jpg,"[(296, 187, 310, 214), (334, 634, 347, 655)]"
0197eac3f.jpg,"[(703, 713, 757, 768)]"
0198534d2.jpg,"[(148, 600, 163, 618), (195, 685, 225, 702)]"
0198713b4.jpg,"[(666, 137, 716, 258)]"
0199abc4f.jpg,"[(718, 249, 738, 327)]"
019c45bdf.jpg,"[(202, 420, 217, 434), (430, 473, 446, 511)]"
019ea06c8.jpg,"[(34, 679, 58, 693)]"
01a1e6260.jpg,"[(80, 338, 103, 367)]"
01a26b0b2.jpg,"[(616, 88, 636, 108)]"
01a3f56a2.jpg,"[(672, 681, 693, 708)]"
01aa2bb58.jpg,"[(117, 606, 128, 617), (44, 694, 69, 702)]"
01acf3a1a.jpg,"[(639, 476, 657, 507)]"
01ad35fcb.jpg,"[(424, 239, 501, 384), (63, 371, 90, 413), (172, 412, 215, 485), (721, 649, 747, 693), (293, 714, 327, 768)]"
01b030c4b.jpg,"[(484, 490, 540, 549)]"
01b04ce8d.jpg,"[(510, 453, 555, 480)]"
01b524ff3.jpg,"[(107, 47, 166, 80)]"
01b6d88ec.jpg,"[(627, 371, 634, 379)]"
01b88e0da.jpg,"[(246, 196, 317, 295)]"
01bb07c7d.jpg,"[(596, 210, 768, 480)]"
01bcd7b61.jpg,"[(451, 473, 460, 481)]"
01c35c219.jpg,"[(65, 19, 175, 78)]"
01c559b28.jpg,"[(699, 70, 709, 81), (716, 514, 726, 528)]"
01c78e866.jpg,"[(546, 0, 623, 60), (751, 245, 768, 261)]"
01c934c85.jpg,"[(617, 42, 623, 54), (593, 78, 604, 91), (579, 80, 591, 99), (635, 104, 650, 112)]"
01c99b29b.jpg,"[(301, 19, 327, 51)]"
01c99f2f5.jpg,"[(702, 143, 745, 233)]"
01caa731a.jpg,"[(321, 507, 418, 768)]"
01d2a4440.jpg,"[(50, 390, 114, 478), (479, 709, 487, 738), (456, 712, 473, 722)]"
01d53cfe0.jpg,"[(667, 178, 691, 251), (686, 509, 696, 527)]"
01d8d0ef7.jpg,"[(90, 415, 99, 425), (532, 626, 544, 636), (567, 637, 577, 646), (674, 745, 692, 759)]"
01d98a868.jpg,"[(520, 665, 610, 729)]"
01da5a2de.jpg,"[(211, 646, 369, 738)]"
01e06a4c8.jpg,"[(647, 157, 676, 189)]"
01e0fce2c.jpg,"[(479, 74, 561, 95), (119, 128, 141, 176), (330, 378, 389, 524), (15, 392, 33, 451)]"
01e33f740.jpg,"[(85, 368, 103, 385)]"
01e4019bc.jpg,"[(12, 528, 113, 768)]"
01e44cff9.jpg,"[(746, 494, 759, 538)]"
01e53d284.jpg,"[(154, 302, 178, 342), (371, 325, 383, 337)]"
01e744922.jpg,"[(59, 179, 73, 196)]"
01e78a5d3.jpg,"[(367, 315, 379, 348)]"
01ecad2c6.jpg,"[(28, 65, 103, 249)]"
01ed38a14.jpg,"[(582, 645, 587, 650)]"
01eff2f3e.jpg,"[(578, 615, 603, 677)]"
01f276783.jpg,"[(35, 453, 221, 701)]"
01f4debc0.jpg,"[(416, 186, 441, 197), (198, 546, 276, 582), (139, 704, 168, 725)]"
01f7d537e.jpg,"[(0, 155, 39, 181), (131, 387, 143, 394), (265, 448, 322, 474)]"
01fdbadc8.jpg,"[(166, 639, 197, 712)]"
0200505ee.jpg,"[(610, 472, 666, 516)]"
020128a8d.jpg,"[(294, 320, 374, 377), (420, 409, 466, 434)]"
02033af48.jpg,"[(319, 447, 385, 640)]"
0209f50e1.jpg,"[(137, 365, 169, 389)]"
020aa1a39.jpg,"[(279, 230, 541, 407)]"
020da2aa6.jpg,"[(40, 300, 60, 335)]"
020eb3654.jpg,"[(577, 371, 638, 575)]"
0210c65fa.jpg,"[(486, 206, 502, 228)]"
0219dec84.jpg,"[(43, 134, 47, 138), (65, 134, 78, 147), (49, 153, 53, 156), (25, 155, 38, 169)]"
021e2b4dd.jpg,"[(0, 103, 173, 178), (559, 118, 610, 181), (132, 538, 387, 768)]"
0221587f9.jpg,"[(616, 11, 622, 21)]"
02224f66f.jpg,"[(720, 394, 753, 422), (179, 514, 196, 530), (190, 531, 200, 539), (198, 538, 210, 548), (614, 541, 677, 601), (213, 553, 224, 565), (247, 571, 258, 584), (288, 650, 296, 656), (305, 700, 317, 709), (433, 735, 477, 767)]"
02254cac5.jpg,"[(323, 68, 336, 96)]"
02277803f.jpg,"[(123, 91, 133, 101)]"
0227e4755.jpg,"[(379, 337, 400, 416)]"
0228b1fbf.jpg,"[(676, 365, 739, 497), (547, 677, 577, 731)]"
022abde58.jpg,"[(451, 287, 460, 301)]"
022af9c92.jpg,"[(109, 153, 179, 258)]"
022eac631.jpg,"[(728, 52, 747, 71), (486, 157, 515, 186), (131, 273, 152, 293), (41, 313, 51, 321), (252, 435, 279, 459)]"
022ecd2ce.jpg,"[(536, 71, 564, 97)]"
0230623b4.jpg,"[(462, 304, 471, 319)]"
02329b747.jpg,"[(184, 388, 205, 409)]"
023612ad4.jpg,"[(420, 606, 442, 638)]"
0238e14b8.jpg,"[(683, 163, 768, 416), (263, 584, 361, 754)]"
023f6f2f9.jpg,"[(31, 651, 86, 722)]"
0241f860a.jpg,"[(692, 711, 703, 722)]"
0249b30e0.jpg,"[(137, 173, 150, 188)]"
024d1a276.jpg,"[(183, 487, 274, 542)]"
024ff1d87.jpg,"[(627, 24, 648, 47), (442, 143, 452, 150), (168, 188, 212, 224), (153, 199, 190, 229), (217, 220, 259, 253), (190, 225, 218, 246), (263, 252, 323, 297), (264, 275, 309, 312)]"
0253c3406.jpg,"[(238, 81, 251, 96), (606, 120, 621, 134), (702, 170, 716, 183), (677, 202, 691, 214), (466, 203, 482, 219), (609, 672, 632, 692)]"
0259de307.jpg,"[(62, 226, 85, 272), (89, 610, 105, 673)]"
025b9f505.jpg,"[(370, 115, 396, 180), (560, 172, 589, 228), (185, 421, 209, 461), (491, 474, 520, 530)]"
025c5fdca.jpg,"[(690, 120, 700, 137)]"
025ee157d.jpg,"[(459, 255, 532, 377)]"
02641ca93.jpg,"[(409, 12, 433, 38), (634, 116, 644, 136), (264, 153, 310, 221), (613, 311, 654, 351), (449, 375, 489, 440), (147, 595, 179, 632), (164, 700, 196, 744)]"
02680b31f.jpg,"[(199, 182, 340, 377)]"
0268a89cf.jpg,"[(69, 582, 85, 594), (130, 678, 328, 739), (336, 715, 351, 747)]"
026a33fbd.jpg,"[(45, 275, 71, 307)]"
026be75a5.jpg,"[(600, 149, 613, 165), (490, 172, 631, 240)]"
026da90a6.jpg,"[(212, 0, 302, 284)]"
026e583a0.jpg,"[(338, 322, 420, 353), (566, 736, 576, 743)]"
026f743ca.jpg,"[(660, 402, 731, 517)]"
0270d7317.jpg,"[(270, 0, 439, 259), (52, 374, 165, 556), (453, 661, 494, 686)]"
02726f31a.jpg,"[(334, 254, 346, 269)]"
0273953cd.jpg,"[(185, 312, 413, 452)]"
0274d3627.jpg,"[(146, 62, 159, 131)]"
0275eea3c.jpg,"[(209, 299, 295, 358), (37, 393, 86, 433)]"
02765ce9b.jpg,"[(624, 90, 635, 153), (559, 254, 587, 355), (634, 269, 642, 303), (634, 319, 643, 342), (640, 355, 646, 381), (639, 397, 647, 414), (605, 406, 614, 429), (629, 419, 643, 428)]"
02766c52b.jpg,"[(571, 199, 584, 211), (557, 201, 567, 212), (569, 341, 593, 361), (658, 344, 676, 362), (573, 351, 596, 369), (693, 378, 721, 401), (708, 402, 737, 422), (711, 427, 745, 451), (424, 459, 460, 478), (747, 462, 767, 485), (239, 471, 315, 541), (476, 672, 525, 689)]"
0276904be.jpg,"[(103, 209, 114, 221), (579, 503, 632, 538), (132, 720, 200, 768)]"
02776139a.jpg,"[(536, 40, 543, 48), (545, 43, 547, 44), (547, 45, 548, 47), (543, 48, 547, 50), (543, 196, 552, 204), (499, 276, 517, 292), (396, 372, 408, 380), (256, 415, 267, 422), (118, 469, 130, 490), (311, 469, 326, 481), (483, 472, 497, 486), (185, 495, 192, 501), (153, 559, 163, 569), (196, 618, 206, 633), (156, 687, 171, 705), (64, 729, 74, 738), (121, 743, 131, 751)]"
0277825a8.jpg,"[(111, 88, 120, 102), (89, 142, 100, 151), (93, 155, 105, 165), (89, 167, 103, 185), (76, 201, 86, 216), (79, 219, 92, 230), (65, 284, 90, 303), (54, 408, 65, 416), (62, 425, 76, 436), (50, 450, 67, 460), (46, 471, 65, 488), (33, 517, 50, 527)]"
027c349e9.jpg,"[(254, 334, 272, 357)]"
027dd0b76.jpg,"[(482, 605, 494, 622)]"
02800da9a.jpg,"[(169, 420, 229, 625)]"
0282ae761.jpg,"[(37, 120, 90, 195)]"
0282e6975.jpg,"[(681, 387, 747, 505)]"
02854fb17.jpg,"[(229, 12, 248, 103), (290, 161, 312, 272), (297, 405, 325, 539)]"
028e081d0.jpg,"[(750, 237, 757, 246), (95, 565, 110, 578)]"
029377b79.jpg,"[(716, 150, 734, 222)]"
0295a0ca2.jpg,"[(570, 380, 580, 401), (128, 408, 143, 435), (583, 516, 591, 530), (200, 686, 220, 737)]"
0296a13f9.jpg,"[(350, 0, 369, 65), (263, 685, 292, 758)]"
0297c2f2a.jpg,"[(418, 464, 459, 555)]"
029b05d40.jpg,"[(317, 277, 328, 299)]"
029c2a08f.jpg,"[(108, 110, 175, 152)]"
029f377cb.jpg,"[(212, 29, 225, 39)]"
02a608cf8.jpg,"[(634, 2, 667, 78), (657, 134, 671, 160), (326, 168, 355, 246), (562, 342, 612, 429), (567, 584, 614, 666)]"
02a8d4b4c.jpg,"[(225, 162, 391, 264)]"
02abe9456.jpg,"[(586, 525, 648, 546), (546, 543, 565, 551)]"
02ac49c46.jpg,"[(424, 738, 440, 755)]"
02adb030b.jpg,"[(574, 560, 594, 582), (572, 699, 605, 766)]"
02ae3af19.jpg,"[(236, 261, 267, 293), (123, 512, 172, 552), (349, 722, 378, 751)]"
02ae62f2c.jpg,"[(1, 595, 58, 750)]"
02b0692d0.jpg,"[(134, 136, 156, 162)]"
02b2b3f30.jpg,"[(242, 55, 318, 172)]"
02b4b1f6c.jpg,"[(577, 90, 631, 248)]"
02b609dce.jpg,"[(78, 13, 89, 21)]"
02b8ad48c.jpg,"[(23, 650, 33, 672)]"
02ba6c476.jpg,"[(627, 303, 719, 382)]"
02ba774d1.jpg,"[(655, 510, 669, 534)]"
02bc480c5.jpg,"[(449, 596, 569, 749)]"
02bcca2d6.jpg,"[(521, 109, 620, 128), (386, 215, 484, 232), (518, 218, 617, 237), (386, 249, 486, 271), (518, 255, 617, 274)]"
02bd7e3d1.jpg,"[(619, 400, 683, 467)]"
02be1b83c.jpg,"[(691, 469, 705, 483)]"
02bfb39e6.jpg,"[(734, 41, 743, 50)]"
02c025c7d.jpg,"[(566, 217, 608, 407)]"
02c297bdc.jpg,"[(389, 323, 404, 365)]"
02c3568a7.jpg,"[(540, 555, 633, 615)]"
02c371954.jpg,"[(240, 257, 265, 282), (273, 446, 297, 466)]"
02c429cad.jpg,"[(410, 76, 418, 97), (372, 160, 413, 241)]"
02c976c09.jpg,"[(347, 197, 395, 332)]"
02cb8b07c.jpg,"[(67, 390, 122, 542)]"
02cddb0f3.jpg,"[(651, 55, 662, 63)]"
02ceea31e.jpg,"[(3, 215, 25, 237), (202, 224, 218, 250), (374, 700, 383, 714)]"
02cfbf9e0.jpg,"[(578, 38, 643, 77), (675, 57, 724, 70), (564, 249, 635, 310), (255, 270, 298, 296), (634, 479, 689, 511), (674, 630, 721, 651)]"
02d218ff4.jpg,"[(592, 70, 601, 85)]"
02d35ca31.jpg,"[(355, 701, 359, 708)]"
02d5afc38.jpg,"[(559, 353, 619, 439)]"
02d67cdab.jpg,"[(408, 90, 419, 100)]"
02d6c28bf.jpg,"[(58, 41, 73, 59)]"
02d886255.jpg,"[(90, 272, 106, 289), (164, 735, 176, 751), (185, 755, 195, 768)]"
02ddb350f.jpg,"[(408, 170, 422, 179), (461, 288, 475, 301), (162, 738, 177, 747)]"
02de2c3a6.jpg,"[(128, 36, 164, 79), (89, 149, 123, 195), (124, 175, 162, 221), (158, 407, 201, 459), (120, 589, 166, 630), (205, 696, 244, 730)]"
02dfa1392.jpg,"[(718, 69, 763, 149)]"
02e18ce1d.jpg,"[(520, 566, 593, 761)]"
02e434433.jpg,"[(199, 361, 234, 396)]"
02e440917.jpg,"[(658, 44, 690, 95)]"
02e5fad41.jpg,"[(160, 606, 190, 673)]"
02ec2ab17.jpg,"[(26, 539, 30, 547)]"
02edfd06c.jpg,"[(680, 226, 696, 243)]"
02f05f1f2.jpg,"[(382, 61, 444, 146), (198, 309, 230, 335), (125, 726, 302, 768)]"
02f22279a.jpg,"[(266, 74, 286, 89), (587, 532, 611, 557)]"
02f28a1a4.jpg,"[(7, 333, 115, 448)]"
02f367f60.jpg,"[(116, 83, 138, 101)]"
02f944205.jpg,"[(171, 656, 182, 674)]"
02fa0399a.jpg,"[(410, 605, 447, 636)]"
02fac3a8d.jpg,"[(214, 298, 233, 308)]"
02fb4e152.jpg,"[(285, 243, 367, 316), (495, 500, 517, 517)]"
02fd831b5.jpg,"[(485, 44, 512, 146)]"
02fe7c253.jpg,"[(449, 651, 455, 660)]"
0300ffa75.jpg,"[(527, 612, 558, 634)]"
0309112bd.jpg,"[(443, 540, 550, 662)]"
03096f9d3.jpg,"[(530, 329, 544, 344)]"
030ae977d.jpg,"[(674, 233, 688, 241), (558, 559, 567, 565), (547, 592, 556, 603), (584, 606, 601, 614), (595, 651, 609, 660), (649, 657, 658, 672), (570, 667, 583, 678), (629, 683, 641, 692), (619, 715, 634, 728), (627, 748, 644, 761)]"
030ea05f4.jpg,"[(199, 20, 213, 34)]"
031009666.jpg,"[(306, 574, 515, 743)]"
031053ab0.jpg,"[(122, 475, 219, 714)]"
031071580.jpg,"[(236, 555, 321, 586), (410, 694, 426, 749)]"
031755a18.jpg,"[(571, 583, 595, 625)]"
0318cd222.jpg,"[(151, 39, 199, 82), (112, 72, 128, 86)]"
03192f77b.jpg,"[(46, 89, 102, 165), (300, 475, 375, 518)]"
031c75e6d.jpg,"[(528, 38, 556, 68), (497, 382, 690, 580)]"
031d5ef4e.jpg,"[(558, 30, 588, 111)]"
03204a586.jpg,"[(533, 308, 622, 445), (540, 340, 578, 401)]"
03235cae1.jpg,"[(90, 292, 98, 305)]"
0323b0e5d.jpg,"[(488, 47, 501, 59)]"
0324ca639.jpg,"[(615, 530, 628, 542)]"
0325a80e0.jpg,"[(661, 571, 705, 710)]"
0325c0ae2.jpg,"[(530, 293, 553, 382)]"
03276eb9b.jpg,"[(185, 222, 194, 235)]"
0328935b6.jpg,"[(225, 214, 230, 219)]"
0328b8b38.jpg,"[(524, 88, 532, 112)]"
03307335a.jpg,"[(583, 217, 593, 223)]"
0334e61a7.jpg,"[(602, 232, 665, 477), (0, 234, 71, 529), (504, 243, 565, 467), (380, 347, 462, 609), (465, 427, 521, 651), (171, 630, 184, 668), (189, 665, 205, 698), (175, 669, 188, 701), (276, 683, 286, 715), (258, 686, 273, 719), (196, 702, 210, 739), (181, 711, 194, 744)]"
0337e7947.jpg,"[(199, 641, 207, 657)]"
0338bf010.jpg,"[(249, 134, 331, 213), (591, 144, 657, 191)]"
0338fe6a1.jpg,"[(211, 195, 223, 212)]"
033f61c0d.jpg,"[(419, 5, 439, 22), (333, 8, 349, 23), (299, 111, 314, 126), (215, 407, 284, 465), (375, 519, 396, 539)]"
0341ebf96.jpg,"[(0, 359, 173, 434), (559, 374, 610, 437)]"
03467751a.jpg,"[(150, 166, 166, 178)]"
0347105d0.jpg,"[(361, 269, 370, 294), (125, 398, 133, 415)]"
03481a362.jpg,"[(12, 6, 171, 174)]"
0348a11d9.jpg,"[(366, 80, 393, 138)]"
0348a8d7f.jpg,"[(542, 18, 619, 81)]"
